,Position,Company,Location,clean
386,Sr DevOps Engineer,MishiPay,"Bengaluru, Karnataka, India",About MishiPay MishiPay https mishipay com was founded in 2015 by Mustafa Khanwala in and Tanvi Bhardwaj in bringing the best of the online checkout experience to physical stores We do this with our Scan Pay and Go experience Using our native apps on Android or iOS or our web app available on Chrome or Safari customers scan the products they wish to buy in store using their own phone and pay instantly This eradicates the need to wait in line or touch store hardware As the world s leading Scan and Go provider live in 14 countries we work with some of the world s largest retailers including names like MUJI Eroski Flying Tiger Copenhagen Spar Londis Virgin MegaStore and many others The work is challenging hard and long and requires you to be on top of your game but if the adventure and journey excites you then this is the place for you We want to make sure that in exchange for this commitment from our team we offer them the best package possible in terms of options salary and bonus linked to the success of the business You ll also quickly see the impact of your work as we develop our products and customers Responsibilities Design build and maintain effective CI CD pipelines that automate the build test and deploy stages of our software delivery process Build CI CD integrations with GitHub in accordance with our software development lifecycle policies Create and maintain development staging and production environments in the cloud and ensure parity between local environments and deployed environments Implement streamlined reliable release management processes Establish a robust testing framework for infrastructure configuration Promote best practices among developer teams for services data security Keep cloud infrastructure services secure from attacks malicious usage Manage access to cloud infra services for the technology team based on the need to know principl Requirements CI CD pipelines with GitHub Actions and respective GitHub integrations Containerization with Docker Docker Compose Container orchestration with Kubernetes Helm Infrastructure as a code with Terraform Ansible Database administration and troubleshooting PostgreSQL MySQL MongoDB Elasticsearch Redis Proficient in Scripting languages Bash Python Managing cloud infra on Azure Linux system administration System application monitoring ELK APM DataDog Sentry Logrocket Embrace Security suites such as SonarQube Building DataDog Dashboards for holistic infra services monitoring Benefits Why MishiPay You ll work with an inspirational multi cultural team based in our central London HQ the US and Bangalore who are redefining the retail industry globally We offer a tight knit collaborative and exciting work environment coupled with the opportunity to see the apps we develop live in action within some of the world s largest retailers impacting the lives of millions of shoppers You ll also get Yearly Bonuses and Share Options Learning and Development Monthly Allowance A chance to be recognised in one of our quarterly award schemes and win various prizes A new MacBook Pitch Training Online Fitness Sessions Quarterly team building and fun events for our London office and free lunches in Bangalore 
387,Developer Senior,CGI,"Bengaluru, Karnataka, India",Position Description Job Duties And Responsibilities Consult with project sponsors regarding information flow and content including the facilitation of information gathering sessions Work with a Business Analyst and or users to understand requirements Knowledge of database and development methodology principles and procedures is expected Utilization of software and techniques in the analysis and interpretation of complex data sets is expected Design and produce comprehensive computerized data queries and reports Ability to provide technical support in creating maintaining stable predictable and effective Informatica components Ability to develop maintain and enhance Informatica Components mappings workflows Ability to provide technical support in creating maintaining stable predictable and effective Oracle PL SQL procedures and functions Ability to develop maintain and enhance Oracle PL SQL procedures and functions Able to work with diverse individuals teams customers Able to interact and work with others as part of a team Ability to work within a changing environment Good organizational and written verbal communication skills Good presentation skills Positive attitude and team focus are required Technical Skills Experience 4 7 years of experience in the Informatica ETL Development 2 years of experience in Oracle PL SQL with expert fluency in the following technologies and concept Must have strong data warehousing knowledge and experience Data modelling knowledge and experience will be an added advantage Having 1 3 years of experience in IDQ Informatica EDC Informatica AXON would be an added advantage Informatica Certifcation carries more weightage on the selection process Soft Skills Able to multitask effectively well organized and detailed oriented Have excellent time management task planning and prioritization skills Able to adapt quickly to changing client requirements Able to work effectively within a team Strong written and oral communication skills Your future duties and responsibilities Required Qualifications To Be Successful In This Role Insights you can act on While technology is at the heart of our clients digital transformation we understand that people are at the heart of business success When you join CGI you become a trusted advisor collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes We call our employees members because they are CGI shareholders and owners and as owners we enjoy working and growing together to build a company we are proud of This has been our Dream since 1976 and it has brought us to where we are today one of the world s largest independent providers of IT and business consulting services At CGI we recognize the richness that diversity brings We strive to create a work culture where everyone belongs and we collaborate with clients in building more inclusive communities As an equal opportunity employer we empower all our members to succeed and grow If you require an accommodation at any point during the recruitment process please let us know We will be happy to assist Ready to become part of our success story Join CGI where your ideas and actions make a difference 
388,Backend - Senior Software Engineer ( Java ),Paytm,"Bengaluru, Karnataka, India",Senior Software Engineer Backend About US Paytm is India s leading digital payments and financial services company which is focused on driving consumers and merchants to its platform by offering them a variety of payment use cases Paytm provides consumers with services like utility payments and money transfers while empowering them to pay via Paytm Payment Instruments PPI like Paytm Wallet Paytm UPI Paytm Payments Bank Netbanking Paytm FASTag and Paytm Postpaid Buy Now Pay Later To merchants Paytm offers acquiring devices like Soundbox EDC QR and Payment Gateway where payment aggregation is done through PPI and also other banks financial instruments To further enhance merchants business Paytm offers merchants commerce services through advertising and Paytm Mini app store Operating on this platform leverage the company then offers credit services such as merchant loans personal loans and BNPL sourced by its financial partners About the role As a Senior Software Engineer You would be working with the senior technology people of our company with the goal of developing high quality software aligned with our business strategy and the user demand Requirements 3 to 5 years of server side application development experience with Java Spring boot Microservice Deeply technical with a track record of successful delivery An entrepreneurial spirit combined with strong program and product management skills Excellent written and verbal communication skills with the ability to present complex plans and design Excellent judgment organizational and problem solving skills Excellent design and architecture design Data driven decision making Preferred Qualifications Bachelor s Master s Degree in Computer Science or equivalent Skills that will help you succeed in this role Language Java Node DB RDBMS Messaging Kafka RabbitMQ Caching Redis Aerospike Micro services AWS Good experience in scaling performance tuning optimization at both API and storage layers Why join us Because you get an opportunity to make a difference and have a great time doing that You are challenged and encouraged here to do stuff that is meaningful for you and for those we serve You should work with us if you think seriously about what technology can do for people We are successful and our successes are rooted in our people s collective energy and unwavering focus on the customer and that s how it will always be Compensation If you are the right fit we believe in creating wealth for you With enviable 500 mn registered users 21 mn merchants and depth of data in our ecosystem we are in a unique position to democratize credit for deserving consumers merchants and we are committed to it India s largest digital lending story is brewing here It is your opportunity to be a part of the story 
389,Data Science Executive,HyreFox Consultants,"Bengaluru North, Karnataka, India",Exp 0 3 years Humanli AI is a Startup founded by Alumnus of IIM Bangalore ISB Hyderabad IIM Calcutta We are democratizing and extending technology that were accessible consumed only by MNCs or Fortune companies to SME and Mid size firms We are pioneers in bringing Knowledge Management algorithms Computer Vision into Conversational BOT framework All our Bots are Conversational BOTs i e powered by AI techniques like NLP NLU NLG or Deep learning RNN CNN etc The main responsibilities of include Data collection Collecting and cleaning data from various sources such as databases APIs and websites to prepare it for analysis Data analysis Analyzing data to extract insights and patterns using various techniques such as statistical analysis machine learning and data visualization Modelling Building predictive models using machine learning algorithms to solve specific business problems Communication Communicating findings and results to stakeholders including technical and non technical team members Supporting the team Supporting senior data scientists and data engineers in their day to day tasks and projects Learning new techniques and tools Staying updated with the latest techniques and tools in data science such as new programming languages libraries and frameworks In addition to the above responsibilities you should have strong problem solving skills be able to work independently and have a strong interest in data science and related technologies You will have the opportunity to learn from experienced data scientists and data engineers Qualification Education should have a degree or under graduate in field such as computer science statistics mathematics or engineering Technical skills Solid understanding of programming languages such as Python and be familiar with data analysis tools and libraries such as Pandas NumPy NLTK and scikit learn Familiarity with machine learning libraries such as Tensorflow and Keras or Pytorch is also desirable Understanding of algorithms and techniques such as neural networks deep learning and natural language processing to create intelligent systems Statistical knowledge should have a strong understanding of statistical concepts and be able to apply them to data analysis and modeling Problem solving skills should be able to identify analyze and solve problems and think critically and creatively Communication skills should be able to communicate complex technical concepts to non technical audiences and work well in a team Passion for Data Science should be passionate about data science and be eager to learn and grow in the field Other Details Keywords Data Science Overview Location Jaipur Job Title Data Science Intern Experience 0 0 yrs 0 0 yrs CTC INR 0 00 lacs 0 00 lacs
390,Java Developer- Return To India,Global Talent Exchange,"Bengaluru, Karnataka, India",Your motherland is calling you home India s technology industry has seen an exponential rise to reach a whopping 227 Billion in revenue this year and is now the third largest startup ecosystem in the world The country is making major progress in driving transformation at lightning speed These initiatives have given rise to a plethora of opportunities and organizations are seeking only the very best professionals to spearhead the revolution that is underway You could be the Game Changer your country needs Apply now Job responsibilities Design and implement Java based applications Define application objectives features and functionality Design develop and test software applications Debug and resolve technical issues Produce detailed design documentation Analyze existing Java infrastructure and recommend improvements Bachelor s Master s degree in Computer Science or equivalent experience 3 years of experience in Java rare exceptions for highly skilled candidates Good understanding of JVM and Java EE platforms Proficiency in Java data structures algorithms and software design Fluency in English to collaborate with engineering managers Familiarity with build tools such as Maven Ant and Gradle Strong knowledge of source control systems Git Merging Branching Pull Requests Experience in Unix Linux including basic commands and scripting Good understanding of Java and JEE internals Sound knowledge of front end technologies like HTML5 CSS3 and JavaScript Knowledge of SQL Relational Databases and ORM technologies Hibernate JPA2 Experience with test driven development
391,Data Engineer,Inference Labs,"Bengaluru East, Karnataka, India",Responsibilities for the job Key Responsibilities Data Model Designing Developing and maintaining Data pipelines on cloud AWS Platform Translate business needs to technical specifications and framework Maintain and support data mart data analytics platforms application Perform quality assurance to make sure the data correctness Develop sub marts using SQL and OLAP function to fulfil immediate ad hoc need of the business users basis the comprehensive marts Monitoring of the performance of ETL and Mart Refresh processes understand the problem areas and open a project to fix the performance bottlenecks Other Responsibilities If Any Availability during month end Deck generation may be sometime during week end holidays Eligibility Criteria for the Job Education B E B Tech in any specialization BCA M Tech in any specialization MCA Work Experience Data Engineer 4 years of experience in data engineering on cloud platforms like AWS Azure GCP Exposure with working on BFSI domain big data warehouse project Exposure to manage multiple source of the information both structured unstructured data Manage data lake environment for point in time analysis SCD Type 2 multiple refresh during the day event based refresh Should have exposure on Managing environment having real time dashboard data mart requirement Primary Skill Must have orchestrated using any of the cloud platforms Expert in writing complex SQL Command using OLAP Working experience on BFSI Domain Technical Skills Must have orchestrated at least 3 projects using any of the cloud platforms GCP Azure AWS etc is a must Must have worked on any cloud PaaS SaaS database DWH such as AWS redshift Big Query Snowflake Python Java Hands on Exp from data engineering perspective is a must Experience with any of the object oriented object function scripting languages Python Java Scala Shell NET scripting etc is a must Experience in at least one of the major ETL tools Talend TAC SSIS Informatica will be added advantage Management Skills Ability to handle given tasks and projects simultaneously in an organized and timely manner Soft Skills Good communication skills verbal and written Attention to details Positive attitude and confident 
392,Node.js/HTML5 developer - Return to India,Global Talent Exchange,"Bengaluru, Karnataka, India",Your motherland is calling you home India s technology industry has seen an exponential rise to reach a whopping 227 Billion in revenue this year and is now the third largest startup ecosystem in the world The country is making major progress in driving transformation at lightning speed These initiatives have given rise to a plethora of opportunities and organizations are seeking only the very best professionals to spearhead the revolution that is underway You could be the Game Changer your country needs Job Description Job responsibilities Collaborate with web designers to finalize the application layout and design Develop the back end components using Node js Write reliable scalable and secure front end and back end code Develop highly efficient user interface components Analyze and improve website performance Ensure cross platform compatibility of the web apps Identify errors in code and troubleshoot them Perform usability and performance testing on web applications Minimum Requirements Bachelor s Master s degree in Engineering Computer Science or equivalent experience At least 3 years of experience working with Node js and HTML5 rare exceptions for highly skilled developers Extensive experience with JavaScript and Node js Proficiency in HTML5 CSS3 and XML Strong understanding of database technologies such as MySQL PostgreSQL MongoDB etc Proficiency in REST APIs JSON and API development Experience with one or more programming languages such as Python Java Golang PHP Ruby etc Fluent in English to communicate effectively Ability to work full time 40 hours week with a 4 hour overlap with US time zones Preferred Skills Experience with other JavaScript frameworks and libraries such as React js Angular Vue js etc Strong knowledge of DevOps best practices and AWS infrastructure Experience in building and maintaining large scale applications Working knowledge of code versioning tools like Git Mercurial or SVN Excellent organizational and interpersonal skills
393,Java Developer,LTIMindtree,"Bengaluru, Karnataka, India",This job is sourced from a job board Learn more Strong in Java 8 Spring Boot and Microservices Rest API JMS MQ Unix scripting Strong experience in Spring Framework such as Spring MVC IOC AOP and Spring JDBC Strong in Oracle Database models PL SQL query tuning optimization indexes explain plans analyzing AWR reports Partitioning Good understanding of React Redux WebSockets hand on preferred Hands on knowledge of DevOps tools specifically Maven Jenkins OpenShift Docker Kubernetes uDeploy Ansible BitBucket and respective hooks Knowledge of ServiceNow Firewall config setup FAF rules SFT LightSpeed will be a huge plus Must have very strong communication as this is a lead role and will be Ops Product facing Experience with scanning tools such as SonarQube BlackDuck CheckMarx This job is provided by Shine com Desired Skills and Experience java microservices spring boot 
394,Data Center Engineer,Taurus Hard Soft Solutions Pvt Ltd,"Bengaluru East, Karnataka, India",Basic Understanding of Active directory and Networks Data Center Status Monitoring verification of DC equipment Operations like Server LAN WAN operations Diagnosis and rectification of faults defects and problems by working with specialized teams Service Provider Performs various Data Centre related activities like performing scheduled batch jobs taking and managing backup Managing Data Centre facility by interacting with different vendors Executes all the routine functions by following SOP Manual maintaining proper Record of the Activities performed in the DC 
395,Java Development work from home job/internship at Codersarts,CodersArts,India,This job is sourced from a job board Learn more About Codersarts Website Codersarts a product of SofStack com provides services such as web development mobile app development technology solutions for business hiring dedicated developers for projects IT solutions database development and programming expert help solutions We provide all the programming expert help guidance and support our clients need to get a good grasp of understanding and scaling business at the highest level SofStack is a product development company based in Noida India and Codersarts is a product of the same Activity on Internshala Hiring since August 2019 110 opportunities posted 31 candidates hired About The Work From Home Job internship Selected intern s day to day responsibilities include Work closely with team members and individually based on project complexity to ensure conformity with standards Work on Java and Springboot Work on building rest APIs in Springboot Work on using good coding practices for development OOPs JUnit and latest Java 8 features Work on JavaGUI frameworks like JavaFX Swing JSP Servlet Spring Hibernate and JPA Suggest better approaches to solve technical problems Work on writing well documented code Take full ownership of the problem that you are solving Go through code and provide feedback Work promptly to meet or exceed our commitments to customer success Take live query sessions for users over Zoom Google Meet Skill s required Algorithms Data Structures Hibernate Java J2EE Java JavaFX JSP MySQL Servlets Spring MVC Swing Java Earn certifications in these skills Learn Java Learn Algorithms Learn Data Structures Learn MySQL Learn Voice App Development Who can apply Only Those Candidates Can Apply Who are available for the work from home job internship can start the work from home job internship between 6th Apr 23 and 11th May 23 are available for duration of 6 months have relevant skills and interests Perks Certificate 5 days a week Number of openings 1 Additional Questions Sign up to continue Sign up Login with Google OR Email Password First Name Last Name By signing up you agree to our Terms and Conditions Already registered Login Sign up to continue Sign up Login with Google OR Email Password First Name Last Name By signing up you agree to our Terms and Conditions Already registered Login
396,ETL Developer,TandA HR Solutions,"Bengaluru, Karnataka, India",Exp 3 6 years Education Bachelors or Masters Experience 2 4 years Skills Knowledge REQUIRED AND EXPERIENCE Experience with SSIS SSAS OLAP Cube Tabular Modelling and ETL processes 2 Years in MS SQL Server 2008 2014 Microsoft SSIS Change Data Capture CDC 3 years data warehousing experience Ability to write Stored Procedures write complex SQL queries and ability to analyze the SQL data is desired Ability with Query Execution Plans tuning and optimization Knowledge of MDX language Knowledge of data modelling concepts Good knowledge of SQL PLSQL for both DDL and DML operations Good Marketing domain knowledge Excellent verbal and written communication skills 
397,Software Developer,Qrata,"Bengaluru North, Karnataka, India",What we are looking for You have good understanding of the fundamentals of data science algorithms or software engineering Preferably you should have done some project or internship related to the field Knowledge of SQL is a plus A deep desire to learn new things and be a part of a vibrant start up You will have a lot of freehand and this comes with immense responsibility so it is expected that you will be willing to master new things that come along What you will get to do Build cloud based services and or user interfaces Participating in all aspects of software development activities including design coding code review unit testing bug fixing and code API documentation Be the first few members of a growing technology team Skills Java Data Structures Algorithms C C Go Programming Golang Amazon Web Services AWS Google Cloud Platform GCP and Data Science
398,SAP Basis Developer,CGI,"Bengaluru, Karnataka, India",Position Description Works independently under limited supervision and applies knowledge of subject matter in Applications Development Possess sufficient knowledge and skills to effectively deal with issues challenges within field of specialization to develop simple applications solutions Second level professional with direct impact on results and outcome Your future duties and responsibilities Support system upgrades service packs kernel upgrades and client deployment Install Set up schedule for maintenance patches Experience in sap Linux Unix Environments Job scheduling Monitoring Spool and Printer administration Provide Basis support and troubleshoot system problems System monitoring and system Performance tuning Hands on Experience with client Copies Working Knowledge on Business Object Products Understanding on Upgrades and Migrations Extensive experience in analyzing and solving day to day Project activity or Implementation issue Knowledge on Transport deployment Through Charm Required Qualifications To Be Successful In This Role Exp 5 to 8 Yrs Location Bangalore Insights you can act on While technology is at the heart of our clients digital transformation we understand that people are at the heart of business success When you join CGI you become a trusted advisor collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes We call our employees members because they are CGI shareholders and owners and as owners we enjoy working and growing together to build a company we are proud of This has been our Dream since 1976 and it has brought us to where we are today one of the world s largest independent providers of IT and business consulting services At CGI we recognize the richness that diversity brings We strive to create a work culture where everyone belongs and we collaborate with clients in building more inclusive communities As an equal opportunity employer we empower all our members to succeed and grow If you require an accommodation at any point during the recruitment process please let us know We will be happy to assist Ready to become part of our success story Join CGI where your ideas and actions make a difference 
399,"Developer, AWS",NeuraFlash,"Bengaluru, Karnataka, India",About NeuraFlash We are a leading AI and Consulting Partner of Amazon Salesforce obsessed with helping our customers transform their contact centers with AI Powered Experiences Our expertise spans across the Amazon ecosystem with Amazon Connect Lex Contact Lens and Salesforce ecosystem with Service Cloud Voice Einstein Bots and Digital Channels Service Cloud Field Service CPQ MuleSoft and Einstein Analytics We are experts in building experiences grounded in data that transform and optimize the employee and customer journey What sets NeuraFlash apart At NeuraFlash our people form the core of our business and the soul of our brand We hire individuals who inspire us and look at challenges as opportunities to create innovative solutions You ll be provided with ongoing education and development opportunities via our Salesforce Partnership Program and mentorship programs created for our aspiring leaders NeuraFlash is on the forefront of cutting edge technologies and we understand by investing in you we re investing in ourselves The AWS Developer position is a highly technical role We need someone that can dive deep and build complex AWS optimized architectures This person should be enthusiastic while also being technically proficient with cloud infrastructure of web applications The AWS Developer is expected to understand the core AWS services and apply best practices regarding security and scalability If you love learning and implementing new technology with a passion for writing code we d love to talk to you Responsibilities Ensure customer success in building and launching Amazon Connect solutions for NeuraFlash customers Facilitate business process reviews to identify customer requirements and processes Educate customers on the value proposition of AWS and participate in deep architectural discussions to ensure solutions are designed for successful deployment in the cloud Translate customer requirements into contact center design leveraging best practices and minimizing the need for custom development Configure Salesforce Service Cloud Voice and Amazon Connect solutions Act as the technical liaison between customers partners and support Drive best practices for contact center design in every aspect of solution Manage all technical aspects of projects and necessary customer communications Deliver customer end user training and documentation Exercise independent judgment and take the lead role on enterprise level projects with minimal direction from senior management Lead vision and strategy discussions with contact center and customer service leadership and management Required Skills Customer facing contact center experience Communication and presentation skills with a high degree of comfort speaking with executives IT Management and customers API integration experience Strong troubleshooting and debugging skills Experience deploying AWS resources using infrastructure as code Cloudformation CDK Terraform etc Comfortable writing Lambda functions in javascript or python Experience creating bots in Lex ideally with custom Lambda integrations Nice to haves Contact Center architecture knowledge Experience in technology software sales pre sales or consulting Hands on experience building complex omnichannel contact center solutions Advanced knowledge of AWS services and cloud architecture Familiarity with Salesforce Service Cloud Contact center product knowledge of other platforms Genesys Cisco Avaya Twilio etc Salesforce knowledge Experience working with outbound dialers campaign management Experience with WorkForce Management solutions Experience building integrations across WFM CRM and contact center solutions Experience with communications protocols and APIs such as WebRTC and SIP Experience designing call flows preferably with Amazon Connect Customer facing contact center experience with Amazon Connect Certifications One or more of the following AWS Cloud Practitioner Certification AWS Developer Associate Certification or Professional AWS Solution Architect Certification or Professional Salesforce Certified Administrator What s it like to be a part of NeuraFlash Remote In Person Whether you work out of our HQ in Massachusetts one of our regional hubs our India office or you re one of over half of our NeuraFlash Family who work remotely we re focused on keeping everyone connected and unified as one team Flexibility Do you have to take the dog to the vet pick up the kids from school or the in laws from the airport We know that a perfect 9 5 isn t possible So you have to jump out to do any of those no problem We build a culture of trust and understanding We value good work not the hours in which you get it done Collaboration You have a voice here If you work with a team of smart people like we do it s a no brainer to take suggestions and feedback on how to keep NeuraFlash thriving Our executive team holds town halls company meetings where they address any suggestions or questions asked no matter how big or small Celebrate Often We take our work seriously but we don t take ourselves too seriously Whether it is an arm wrestling contest costume party or ugly holiday sweaters our teams love to have fun And while we work hard we don t forget to slow down and celebrate the big things and the small things together The Flashy Perks Be in the right space Work at the forefront of AI Innovation on the Salesforce Platform Growth In 2021 we grew our team by close to 90 and we plan to do the same again this year There s no limit to where your career at NeuraFlash can go L D Program We are invested in your success This program was built to help our employees advance in their career in Salesforce and at NeuraFlash Mentorship Program Each new team member is assigned a mentor to help them acclimate at NeuraFlash Monthly Weekly Socials We hold monthly weekly virtual socials to have more opportunities to be together Company Retreats This looks a little different in the age of COVID 19 but we gather the entire company twice a year to share stories visions for NeuraFlash Location NeuraFlash strives to provide you with the flexibility to work in the location that makes the most sense for your lifestyle For those that prefer an office setting this role may be based in any of our hub locations within the United States India and British Columbia Canada If you prefer to work from your home we can accommodate remote locations anywhere in the United States for our U S based employees and anywhere within British Columbia for our Canadian employees 
400,Data Engineer,ScaleneWorks People Solutions LLP,"Bengaluru, Karnataka, India",Data Engineers with Snowflake Java Pune Bnagalore Hyderabad Job Specs 5 Years min Experience We are looking for a proactive self driven Data Engineers with Python Snowflake and Java experience Must have Mandatory skill Snowflake Java Knowledge in Spark Unix shell scripting 5 years of hands on technical expertise in Data projects SHOULD HAVE thorough knowledge and working experience with Snowflake and JAva Python SHOULD be able to write complex SQL queries and Snowflake Must be excellent in written verbal communication skills and working closely with business team and project team Strong Snowflake Unix Shell Scripting Java Python Experience in any NoSQL Strong in Programming Experience in Large volume Data Processing and ETLs Strong analytical skills in analyzing complex problems processes and systems to propose suitable solutions Ability to understand business requirements and simplify processes and designs Ability to document interfaces and data flows Good understanding of related business processes to support impact analysis and design for proposed solutions Ability to quickly learn new systems processes and technology He she will be responsible for understanding business requirements creating BRDs creating grooming user stories and working with the scrum teams to deliver a solution GOOD to HAVE exposure to Digital marketing principles tools 
401,Data Engineer-Data Science Team,KreditBee,"Bengaluru, Karnataka, India",Key Responsibilities Develop the Policies Next Gen Rule Engine for Digital Lending Develop various Restful APIs Integrate with various data sources Job Duties Develop the Policies Next Gen Rule Engine for Digital Lending Develop various Restful APIs Integrate with various data sources Develop tools techniques related to the Data Extraction from web or PDF files and other process automation Skillset Strong Programming Skills using Python DB preferably MySQL Messaging like Kafka Redis Good Experience in Web Restful APIs or Micro services Development Experience in Web Frameworks like Flask or Django Exposure in AWS or Other Cloud Platform is advantageous Experience in Python Web Scraping or Data Extraction from PDF files is advantageous Strong Logical Analytical skills with good soft communication skills Qualification B E B Tech Experience 0 3 Yrs
402,Looking for Java Developer,MNR Solutions Pvt. Ltd.,"Bengaluru, Karnataka, India",Hi We are looking For Java Developer Skills Java Spring Hibernate Experience 4 to 7 yrs Location Bangalore Chennai Trivandrum Java developer roles will vary greatly depending on companies and job positions Here are some typical roles and responsibilities of java developers Contribute to all stages of software development lifecycle Design implement and maintain Java based applications that can be high volume and low latency Analyze user requirements to define business objectives Envisioning system features and functionality Define application objectives and functionality Ensure application designs conform with business goals Develop and test software Identify and resolve any technical issues arising Create detailed design documentation Propose changes to current Java infrastructure Develop technical designs for application development Develop multimedia applications Write well designed testable code Conducting software analysis programming testing and debugging Manage Java and Java EE application development Develop documentation to help users Transforming requirements into stipulations Prepare and produce releases of software components Support continuous improvement investigating alternatives and technologies and presenting for architectural review This job is provided by Shine com
403,Data Center Engineer,Taurus Hard Soft Solutions Pvt Ltd,"Bengaluru East, Karnataka, India",Hi Professionals We are looking for an Data Center Engineer for Reputed Company in Bangalore for Permanent Role Work Location Bangalore Experience 1 to 2 Years Skills Basic Understanding of Active directory and Networks Data Center Status Monitoring verification of DC equipment Operations like Server LAN WAN operations Diagnosis and rectification of faults defects and problems by working with specialized teams Service Provider Performs various Data Centre related activities like performing scheduled batch jobs taking and managing backup Managing Data Centre facility by interacting with different vendors Executes all the routine functions by following SOP Manual maintaining proper Record of the Activities performed in the DC Regards Poonsolai K poonsolai k 
404,Software Engineer,eTeam,"Bengaluru, Karnataka, India",Detailed JD EXP 5 0 years Minimum experience of 2 years in Oracle CPQ Experience in Pl SQL is required Good to have skills Oracle Sales Cloud Should have excellent troubleshooting and communication skills Should be ready to work in shifts 
405,Salesforce Developer,NR Consulting,"Bengaluru, Karnataka, India",Location Bangalore Chennai Pune Hyderabad Experience 5 to 8 Years Notice Period Immediate to 15 days Salesforce Developer with Lightning
406,Data Engineer - Java/Scala/Python,HuQuo,"Bengaluru, Karnataka, India",This job is sourced from a job board Learn more Responsibilities Analyze and organize raw data Build data systems and pipelines Evaluate business needs and objectives Interpret trends and patterns Conduct complex data analysis and report on results Prepare data for prescriptive and predictive modeling Build algorithms and prototypes Combine raw information from different sources Explore ways to enhance data quality and reliability Identify opportunities for data acquisition Develop analytical tools and programs Collaborate with data scientists and architects on several projects Requirements And Skills Previous experience as a data engineer or in a similar role Technical expertise with data models data mining and segmentation techniques Knowledge of programming languages e g Java and Python Hands on experience with SQL database design Great numerical and analytical skills Degree in Computer Science IT or similar field a Master s is a plus Data engineering certification e g IBM Certified Data Engineer is a plus This job is provided by Shine com Desired Skills and Experience sql java data warehousing informatica python data mining data models data quality sql database data analysis ibm certified computer science data engineering programming languages it mining
407,System Engineer L1,Intuitor,"Bengaluru, Karnataka, India",Exp 2 3 years Job Summary We are a fast growing Managed Service Provider with some of the leading Global Enterprises Telecom Service Providers as our clients We are in the process of expanding our India Operations and looking for experienced and committed System Engineers to be part of our Support Team BE BSc Diploma engineers with minimum 2 to 3 years of experience and Microsoft certified Very good Understanding of Server tehcnologies Server OS Database Applications Experience with Windows Server OS Linux etc Experience in supporting Vmware Storage etc Good knowledge on DNS DHCP Filesystems etc Provide Level 1 support and troubleshooting to resolve System related issues Basic understanding of Cloud technologies Software as a Service Monitor performance and ensure system availability and reliability Experience in working in a network operations center is preferred Knowledge of ITIL practices and process is required Strong research investigation and evaluation skills with a structured approach to problem solving Effective skills and experience analyzing technology behavior and issue resolution Liaise with TAC vendors and other IT personnel for problem resolution ability to work and effectively prioritize in a highly dynamic work environment that includes a global focus Experience using Troubleticketing tools such as Servicenow remedy for handling troubletickets Other Requirements Strong verbal and written communication skills are a must Excellent interpersonal skills and should be a team player Ability to work effectively across internal and external organizations Strong technology background is required Aptitude to acquire new technology and concepts quickly Ready to work on rotational shifts 24x7 Job Location Bangalore
408,QA Engineer (Robot Framework),Eastvantage,"Bengaluru, Karnataka, India",Location Bangalore India Permanent Understand the project test requirements Execute and evaluate automated test cases suites and report test results to ensure that system functionality satisfies acceptance criteria Create and maintain automation scripts using the Robot Framework Help create acceptance criteria for user stories Log bug reports based on test execution Collaborate with the development team to prioritize test scenarios Collaborate with the development team to perform root cause analysis Knowledgeable in Software Automation using RobotFramework Experience working in an Agile environment using Scrum or Kanban Experience with REST API testing Understanding the differences between JSON YAML and XML A passion for software product quality assurance with a positive mindset and good communication skills Experience testing web applications and different types of testing approaches Experience in test risk management Understanding different testing environments Familiarity with Test Pyramid would be great Experience in using GIT repositories would be great Keen eye for detail Experience working with JIRA would be nice to have Having a basic understanding of Javascript and Python would be nice but not required Other duties assigned apply now
409,Android Developer,Codingmart Technologies,"Bengaluru North, Karnataka, India",This job is sourced from a job board Learn more Key Skills Android Android SDK Kotlin Rx java Android Studio Open source APIs AWS GIT Jenkins dagger repository firebase MVP or MVVM architecture push notification room db View Binding Data Binding Hilt Picasso Glide Retrofit Certifications Completion of Android certification course will be an added advantage Additional Skills Good communication Job Requirements Android developer with expertise in Kotlin language and Rx java library Worked on the complete Android Ecosystem Strong Knowledge of Android SDK Android Studio and different versions of Android Familiarity with RESTful APIs to connect Android applications to back end services Strong knowledge of Android UI design principles patterns and best practices Experience with offline storage multi threading and performance tuning Solid understanding of the full android mobile development life cycle with Knowledge of the open source Android ecosystem and the libraries Ability to understand business requirements and translate them into technical requirements Familiarity with cloud message APIs and push notifications A knack for benchmarking and optimization Skills Model View View Model MVVM RxJava iOS App Development and Kotlin
